id;line_1;line_2;country;state;city;pincode
1;white during beyond;aha;Namibia;finish;Millerton;4853
2;punctual lobotomy;negative indeed;Estonia;jackfruit landscape whose;Westminster;14075
3;unsteady lest;eek boohoo gracefully;Grenada;gadzooks more;Elenorton;5817
4;urgently;minister cavernous anti;Zambia;psst indeed;South Everette;7028
5;politely region angrily;huzzah times;Finland;spectacular;Mayaguez;21146
6;fooey;promptly hasty scarcely;Brunei Darussalam;since joyfully optimistically;Wilbertview;15513
7;repeatedly recycle near;despite;Bahrain;following;Violettefurt;13852
8;preset against;suitcase grateful correctly;Slovakia;until impale;East Scottie;5133
9;normalisation antagonize;whether gabble of;Netherlands;verbally rightfully strap;East Revafurt;1503
10;the revamp occasional;nor;Saint Helena;reasonable yahoo off;Dixieview;17594
